ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
7223,站琦琦文文cp的还有谁！,white,Top,"12/29/2016, 7:56:10 PM",8,1
5126,表白2019冉巨,white,Top,"12/29/2016, 7:40:12 PM",9,0
11393,give me five,white,Top,"12/29/2016, 8:54:23 PM",5,1
2664,表白范小灰灰灰灰,green,Bottom,"12/29/2016, 7:08:03 PM",6,0
11613,求蓝色裙子主持人QQ！就是比主唱高的那个！！,white,Top,"12/29/2016, 8:58:10 PM",3,3
489,东山笑,blue,Top,"12/29/2016, 6:22:14 PM",8,0
7802,前无古人 后无来者 表白刘仁文,white,Top,"12/29/2016, 8:00:10 PM",9,0
11328,我是叶倍瑜，为什么你们都黑我，表白陈老板,white,Bottom,"12/29/2016, 8:53:00 PM",5,1
6003,洪晓宇我喜欢你！你们不要和我抢！！,red,Top,"12/29/2016, 7:46:38 PM",9,0
7757,表白老李,white,Top,"12/29/2016, 7:59:51 PM",9,0
153,+1s,white,Top,"12/29/2016, 6:08:02 PM",4,0
1359,前排为何一骏老师征婚,blue,Top,"12/29/2016, 6:47:04 PM",10,0
8115,TA Randolf Conley Casol Parsons ,red,Top,"12/29/2016, 8:02:25 PM",8,1
8840,三年xz，无期bk,white,Bottom,"12/29/2016, 8:09:52 PM",7,2
9840,表白金木的是我,red,Bottom,"12/29/2016, 8:19:40 PM",7,1
4554,豆腐不是你妹妹，是你的好爸爸,white,Top,"12/29/2016, 7:23:56 PM",7,0
1882,把笔记本拿出来,blue,Top,"12/29/2016, 6:56:18 PM",9,0
4825,李开明万岁,white,Top,"12/29/2016, 7:25:45 PM",8,0
3670,王秋琪和学霸君 (*≧▽≦) ,white,Top,"12/29/2016, 7:18:04 PM",6,0
6319,表白mn,white,Top,"12/29/2016, 7:48:43 PM",9,0
2885,泽民没有拒绝我的道理,white,Bottom,"12/29/2016, 7:11:38 PM",5,0
87,不要总想搞个大新闻,white,Top,"12/29/2016, 6:05:50 PM",2,0
2650,傅锦泓我男神啊啊啊不要拒我的弹幕啊啊啊！,red,Top,"12/29/2016, 7:07:55 PM",6,0
8148,论颜值,white,Bottom,"12/29/2016, 8:02:42 PM",9,0
